,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
0,AACG,0.79 %,63,$1,2,"335,346",6,"64,590",9,"495,951",1,"334,984",2,"3,435"
1,AACIU,59.58 %,22,$130,27,"13,009,416",0,0,27,"13,009,416",27,"13,009,416",0,0
2,AADI,53.16 %,21,$270,22,"9,393,985",28,"300,641",53,"11,106,893",11,"6,443,584",19,"109,092"
3,AAL,56.76 %,648,"$7,156",238,"46,713,650",258,"26,441,178",629,"367,556,554",72,"20,733,429",60,"4,014,427"
4,AAME,5.71 %,20,$5,5,"56,236",8,"198,617",18,"1,163,024",3,"28,236",1,"8,750"
5,AAOI,49.50 %,27,$80,53,"2,150,426",43,"1,853,841",117,"13,512,645",11,"288,285",17,"1,085,966"
6,AAON,70.21 %,52,"$2,886",94,"1,257,945",87,"1,463,388",224,"36,812,216",18,"272,357",22,"250,590"
7,AAPL,58.21 %,"16,406","$1,541,407","1,658","173,335,396","1,980","189,069,021","3,927","9,549,637,254",101,"48,791,130",94,"10,190,776"
8,AATC,20.13 %,5,$7,13,"85,762",10,"41,153",27,"1,080,235",6,"79,293",5,"15,176"
9,AAWW,108.54 %,29,"$2,990",111,"2,787,186",121,"2,260,093",282,"31,507,358",41,"742,239",22,"795,371"
10,ABCB,90.57 %,70,"$3,371",94,"4,688,172",120,"3,829,476",269,"63,071,877",21,"481,319",24,"1,400,019"
11,ABCL,34.37 %,282,"$1,351",73,"14,753,566",47,"7,570,349",135,"96,780,298",28,"2,735,480",26,"3,798,403"
12,ABCM,9.87 %,229,$503,31,"983,159",22,"1,446,469",59,"22,570,175",7,"172,377",9,"719,258"
13,ABEO,25.07 %,102,$19,17,"1,379,608",38,"3,646,797",79,"25,551,144",6,"720,366",18,"1,585,481"
14,ABGI,76.16 %,16,$116,17,"332,397",14,"1,638,067",72,"11,854,522",3,"90,039",8,"1,441,013"
15,ABIO,10.61 %,14,$4,13,"393,654",8,"58,605",23,"1,528,673",6,"44,120",4,"30,262"
16,ABMD,92.86 %,45,"$13,865",233,"1,606,502",206,"1,730,934",525,"42,248,767",56,"454,795",25,"80,290"
17,ABNB,57.61 %,347,"$35,616",580,"70,080,771",244,"29,365,044",939,"199,788,334",187,"12,507,555",82,"15,214,301"
18,ABOS,59.43 %,40,$216,41,"24,050,168",0,0,41,"24,050,168",41,"24,050,168",0,0
19,ABSI,38.15 %,93,$380,48,"35,321,484",0,0,48,"35,321,484",48,"35,321,484",0,0
20,ABST,62.39 %,50,$283,35,"4,008,716",45,"4,401,812",96,"31,081,239",12,"1,060,239",16,"949,581"
21,ABTX,50.13 %,20,$460,53,"501,396",63,"490,271",146,"10,151,697",13,"158,497",18,"358,999"
22,ABUS,25.81 %,135,$109,56,"8,851,143",37,"3,035,192",115,"34,918,231",25,"3,824,239",15,"675,589"
23,ABVC,0.79 %,29,$1,9,"225,904",0,0,9,"225,904",9,"225,904",0,0
24,ACAD,90.52 %,161,"$2,836",107,"9,006,351",118,"11,694,340",272,"145,514,710",31,"1,970,132",36,"6,140,976"
25,ACAH,66.90 %,34,$225,28,"5,648,848",7,"1,128,529",62,"23,081,147",14,"2,355,326",3,"235,019"
26,ACAHU,29.34 %,34,$100,6,"1,251,353",22,"4,291,657",52,"10,121,027",2,"1,239,906",12,"2,863,255"
27,ACAHW,09/30/2021,0,$456,09/30/2021,"599,996",0%,$456,1.057%,$445,09/30/2021,"533,818",308.639%,$406
28,ACB,17.23 %,198,$226,108,"4,289,612",82,"4,109,393",311,"34,158,832",47,"1,505,644",30,"962,508"
29,ACBA,74.42 %,6,$45,11,"1,712,751",4,"288,450",20,"4,505,523",8,"1,027,926",3,"280,200"
30,ACBAW,09/30/2021,"441,786",$239,09/30/2021,"380,000",0%,$205,-1.661%,$165,09/30/2021,"294,105",-25.731%,$159
31,ACBI,84.62 %,20,$506,45,"3,717,776",68,"3,748,884",139,"17,181,986",27,"2,679,409",23,"2,067,083"
32,ACCD,72.32 %,67,"$1,349",102,"6,318,697",59,"3,045,059",187,"48,211,416",26,"1,155,728",19,"660,354"
33,ACER,10.67 %,14,$3,7,"48,815",13,"85,739",32,"1,526,925",2,"36,682",7,"53,370"
34,ACET,64.62 %,32,$196,28,"1,527,392",25,"2,106,208",71,"20,649,345",5,"761,053",12,"1,785,571"
35,ACEV,70.06 %,23,$160,42,"10,124,067",25,"3,439,093",93,"16,112,823",28,"7,870,776",18,"2,982,634"
36,ACEVU,1.14 %,20,$2,3,"35,461",3,"43,376",7,"228,661",3,"35,461",3,"43,376"
37,ACEVW,09/30/2021,0,"$1,309",09/30/2021,"745,738",0%,$895,0%,$630,09/30/2021,"487,899",-3.173%,$585
38,ACGL,89.93 %,386,"$15,188",197,"18,026,953",178,"26,230,920",453,"347,237,498",61,"2,849,275",31,"2,089,093"
39,ACGLN,0.00 %,20,$0,0,0,1,"40,000",2,83,0,0,1,"40,000"
40,ACGLO,0.00 %,13,$0,0,0,0,0,1,574,0,0,0,0
41,ACHC,101.65 %,90,"$5,564",135,"6,401,454",155,"5,253,703",327,"91,421,462",42,"1,955,643",30,"1,430,240"
42,ACHL,45.14 %,39,$90,6,"549,893",16,"1,736,675",32,"17,597,157",4,"519,574",12,"1,059,847"
43,ACHV,19.22 %,9,$13,20,"220,227",13,"317,711",37,"1,816,889",9,"157,018",4,"146,294"
44,ACIU,24.31 %,73,$94,36,"3,892,060",26,"4,426,021",72,"17,659,538",15,"2,100,698",8,"294,040"
45,ACIW,104.48 %,118,"$3,936",138,"9,012,893",135,"10,735,122",312,"122,837,713",39,"3,847,222",35,"4,233,580"
46,ACKIT,56.95 %,18,$104,15,"2,379,079",7,"274,613",40,"10,346,413",7,"1,911,793",1,"151,379"
47,ACKIU,12.95 %,14,$19,6,"64,078",11,"1,008,185",26,"1,856,572",4,"63,205",7,"969,557"
48,ACKIW,09/30/2021,0,$219,09/30/2021,"292,320",0%,$213,New,$198,09/30/2021,"253,000",0%,$185
49,ACLS,87.68 %,33,"$1,864",86,"1,993,328",102,"1,846,129",223,"29,209,242",35,"459,005",21,"320,329"
50,ACMR,49.57 %,18,$785,60,"3,691,024",46,"2,234,964",117,"8,828,705",25,"1,236,801",22,"404,265"
51,ACNB,21.77 %,9,$55,19,"288,123",26,"196,809",55,"1,893,188",6,"37,660",7,"40,929"
52,ACOR,28.66 %,11,$10,15,"195,242",18,"822,837",44,"3,210,758",6,"108,082",7,"301,965"
53,ACQR,109.73 %,27,$287,23,"7,617,463",4,"181,913",55,"29,404,646",14,"4,585,182",1,"75,000"
54,ACQRU,32.24 %,50,$159,10,"654,224",25,"7,447,985",59,"15,988,705",2,"337,882",15,"4,691,036"
55,ACQRW,09/30/2021,0,$452,09/30/2021,"391,947",New,$392,0%,$380,09/30/2021,"350,000",0%,$350
56,ACRS,92.76 %,61,$725,73,"6,593,541",58,"5,779,747",148,"56,796,157",23,"1,556,694",22,"1,394,300"
57,ACRX,14.30 %,137,$13,15,"426,690",45,"5,591,469",76,"19,571,344",7,"266,279",22,"1,092,708"
58,ACST,0.44 %,44,$0,8,"57,544",15,"279,993",29,"196,430",5,"32,606",12,"33,306"
59,ACT,18.02 %,163,$672,52,"29,345,987",0,0,52,"29,345,987",52,"29,345,987",0,0
60,ACTD,64.16 %,31,$196,29,"5,676,025",11,"1,392,651",64,"19,963,158",17,"3,535,405",5,"1,017,965"
61,ACTDU,23.43 %,31,$74,6,"396,011",27,"6,221,410",49,"7,291,473",4,"314,782",20,"5,838,435"
62,ACTDW,09/30/2021,0,$590,09/30/2021,"241,502",New,$316,0%,$197,09/30/2021,"140,000",0%,$183
63,ACTG,59.01 %,50,$155,43,"1,885,857",44,"2,183,494",114,"29,274,703",20,"1,113,274",12,"954,791"
64,ACVA,69.89 %,93,"$1,365",82,"31,987,339",32,"7,131,460",122,"65,200,825",29,"7,396,144",18,"3,581,243"
65,ACXP,0.59 %,10,$0,7,"50,228",1,"15,000",8,"60,690",5,"40,883",1,"15,000"
66,ADAG,16.15 %,54,$79,7,"3,204,107",8,"355,150",22,"8,786,888",6,"2,989,844",3,"116,953"
67,ADAP,11.91 %,937,$457,49,"10,124,122",29,"10,269,886",99,"111,574,260",18,"2,717,856",8,"3,998,125"
68,ADBE,83.94 %,476,"$265,644","1,069","13,518,060",947,"13,265,123","2,366","399,368,390",156,"2,984,002",80,"914,625"
69,ADER,82.24 %,28,$223,28,"3,250,753",20,"1,654,400",87,"22,616,335",14,"1,397,007",7,"704,674"
70,ADERU,11.73 %,28,$34,6,"132,895",25,"1,715,035",44,"3,224,437",4,"120,748",9,"1,068,908"
71,ADERW,09/30/2021,0,$623,09/30/2021,"633,615",0%,$551,-5.882%,$348,09/30/2021,"316,600",1.312%,$275
72,ADES,43.42 %,19,$55,21,"454,429",44,"1,538,882",80,"8,191,436",4,"121,639",16,"494,136"
73,ADGI,41.81 %,111,$857,64,"46,513,287",0,0,64,"46,513,287",64,"46,513,287",0,0
74,ADI,88.40 %,537,"$86,675",681,"30,674,463",579,"73,804,572","1,443","475,063,801",119,"4,529,639",131,"27,321,956"
75,ADIL,5.98 %,21,$3,13,"127,559",6,"78,211",23,"1,241,796",5,"44,048",3,"75,936"
76,ADMA,21.34 %,196,$59,25,"5,984,854",49,"7,016,632",95,"41,792,208",6,"203,570",23,"1,394,955"
77,ADMP,10.13 %,149,$12,20,"1,770,606",13,"2,853,910",58,"15,080,679",7,"330,550",5,"1,944,116"
78,ADMS,62.36 %,46,$235,26,"2,505,687",30,"2,778,547",71,"28,552,563",7,"133,702",10,"312,595"
79,ADN,30.80 %,51,$117,35,"2,994,644",22,"1,827,614",63,"15,784,363",14,"1,893,025",11,"1,005,644"
80,ADNWW,09/30/2021,"1,289,881","$2,877",09/30/2021,"1,022,498",0%,"$1,431",-1.953%,"$1,168",09/30/2021,"490,645",0%,$687
81,ADOC,81.25 %,10,$79,6,"233,669",7,"154,997",29,"7,762,908",1,195,1,"9,462"
82,ADOCR,09/30/2021,0,$933,09/30/2021,"899,000",0%,$324,-2.662%,$225,09/30/2021,"500,000",0%,$180
83,ADOCW,09/30/2021,0,$423,09/30/2021,"629,400",0%,$183,0%,$106,09/30/2021,"347,226",0%,$101
84,ADP,80.21 %,421,"$79,813",708,"12,837,796",742,"15,636,695","1,829","337,991,588",88,"2,332,582",80,"569,896"
85,ADPT,83.70 %,141,"$3,201",108,"5,691,248",92,"4,598,559",249,"118,132,318",24,"881,845",29,"2,426,999"
86,ADSK,90.64 %,220,"$60,579",537,"14,995,192",407,"10,388,343","1,108","199,271,654",106,"5,092,505",84,"2,166,298"
87,ADTN,91.74 %,49,$981,93,"5,556,971",72,"5,672,526",190,"44,658,558",37,"4,073,320",14,"828,793"
88,ADTX,5.44 %,27,$2,14,"921,474",4,"81,074",24,"1,464,058",8,"748,007",1,"3,354"
89,ADUS,94.76 %,16,"$1,538",98,"1,363,907",88,"992,571",214,"15,093,465",25,"498,953",32,"313,049"
90,ADV,28.57 %,319,$737,47,"13,088,356",42,"7,359,927",103,"91,025,585",18,"11,082,849",19,"562,935"
91,ADVM,72.11 %,98,$143,50,"6,746,600",62,"15,455,690",136,"70,774,730",15,"2,024,739",22,"3,351,742"
92,ADVWW,09/30/2021,-1,"$2,066",09/30/2021,"858,493",0%,"$1,545",29.132%,"$1,471",09/30/2021,"195,950",0%,$353
93,ADXN,6.20 %,8,$4,1,285,0,0,4,"508,940",0,0,0,0
94,ADXS,6.98 %,146,$4,16,"970,278",15,"760,223",44,"10,167,216",5,"500,021",9,"412,760"
95,AEAC,73.64 %,23,$166,23,"1,437,064",10,"815,517",62,"16,937,025",4,"317,890",3,"183,375"
96,AEACU,18.91 %,23,$44,6,"545,173",11,"794,005",37,"4,349,101",2,"539,270",5,"595,163"
97,AEACW,09/30/2021,"-50,000",$426,09/30/2021,"411,525",358.11%,$270,0%,$242,09/30/2021,"339,500",0%,$223
98,AEHAU,91.24 %,10,$98,34,"9,580,478",0,0,34,"9,580,478",34,"9,580,478",0,0
99,AEHL,4.35 %,6,$1,7,"169,294",4,"24,407",13,"256,844",4,"140,209",2,"4,048"
100,AEHR,30.09 %,27,$141,35,"4,555,607",8,"1,182,744",45,"7,992,195",25,"3,867,735",3,"37,681"
101,AEI,2.10 %,46,$1,14,"681,752",16,"139,830",31,"961,703",8,"145,687",14,"137,491"
102,AEIS,98.32 %,38,"$3,356",111,"2,171,494",152,"2,749,504",305,"37,036,743",28,"542,758",40,"783,342"
103,AEMD,7.03 %,15,$3,10,"327,142",10,"75,024",28,"1,082,320",5,"208,504",6,"53,749"
104,AEP,74.15 %,504,"$31,487",577,"26,942,655",447,"24,962,258","1,288","373,469,882",100,"3,635,163",81,"876,725"
105,AEPPL,81.30 %,16,$649,24,"1,793,280",19,"1,345,066",57,"13,088,885",9,"799,438",8,"305,910"
106,AERI,97.96 %,47,$444,68,"5,436,086",61,"5,094,133",159,"46,392,953",16,"780,133",22,"3,749,486"
107,AEYE,18.48 %,11,$16,20,"768,031",21,"308,279",45,"2,098,791",11,"666,875",17,"187,384"
108,AEZS,1.55 %,121,$1,11,"487,620",15,"537,583",37,"1,881,686",3,"10,977",5,"255,992"
109,AFAQ,59.74 %,22,$131,22,"5,030,999",5,"1,036,830",43,"13,382,746",12,"1,811,009",3,"599,998"
110,AFAQU,27.73 %,22,$62,7,"102,757",16,"3,991,937",40,"6,212,398",2,"99,116",10,"1,798,886"
111,AFAQW,09/30/2021,"177,094",$252,09/30/2021,"333,333",0%,$237,0%,$142,09/30/2021,"183,331",0%,$131
112,AFBI,15.93 %,7,$16,5,"29,164",6,"34,052",16,"1,095,016",2,"23,303",2,"18,163"
113,AFCG,48.46 %,16,$187,35,"2,128,081",27,"3,057,112",71,"7,967,703",12,"100,942",15,"2,229,683"
114,AFIB,72.44 %,28,$67,51,"4,112,633",24,"7,607,124",83,"20,250,333",18,"611,465",12,"1,922,160"
115,AFIN,57.69 %,118,$568,139,"10,216,022",84,"4,877,864",267,"67,973,105",32,"732,531",22,"2,234,715"
116,AFINO,0.58 %,5,$1,0,0,0,0,1,"26,777",0,0,0,0
117,AFINP,0.22 %,8,$0,1,"1,118",0,0,1,"17,784",0,0,0,0
118,AFMD,60.03 %,119,$486,60,"12,627,804",74,"10,829,952",158,"71,407,356",15,"5,660,337",35,"7,185,785"
119,AFRM,59.25 %,208,"$15,742",224,"54,738,524",106,"20,660,280",369,"123,356,630",148,"22,531,845",37,"7,707,615"
120,AFYA,61.83 %,45,$357,33,"2,703,666",42,"2,337,250",81,"27,926,199",7,"1,303,144",20,"1,373,868"
121,AGBA,37.09 %,5,$22,2,"40,601",5,"597,591",15,"1,980,009",1,"15,873",3,"472,433"
122,AGBAR,09/30/2021,0,$78,09/30/2021,"276,098",-38.724%,$76,-2.503%,$45,09/30/2021,"149,298",0%,$41
123,AGBAW,09/30/2021,"1,148",$95,09/30/2021,"186,900",0%,$50,0%,$40,09/30/2021,"118,350",0%,$32
124,AGC,76.12 %,50,$523,35,"9,141,683",24,"6,056,161",81,"38,058,374",19,"6,003,730",16,"4,357,071"
125,AGCUU,16.18 %,50,$118,0,0,12,"4,556,153",25,"8,090,007",0,0,4,"2,619,335"
126,AGCWW,09/30/2021,"-39,243","$6,512",09/30/2021,"500,000",New,"$2,510",12.986%,"$2,384",09/30/2021,"368,790",New,"$1,851"
127,AGFY,20.52 %,21,$73,29,"2,331,265",25,"1,144,667",55,"4,365,642",15,"1,536,125",16,"899,039"
128,AGGR,61.02 %,31,$185,24,"5,288,232",12,"2,884,317",60,"18,915,104",14,"3,232,712",8,"2,790,111"
129,AGGRU,20.89 %,30,$63,6,"168,811",22,"5,470,240",47,"6,267,723",2,"150,060",17,"4,151,294"
130,AGGRW,09/30/2021,0,$430,09/30/2021,"420,626",4106.26%,$395,0%,$375,09/30/2021,"317,427",0%,$298
131,AGIL,23.36 %,42,$95,8,"9,770,329",32,"6,472,730",40,"9,805,793",8,"9,770,329",29,"6,360,222"
132,AGILW,09/30/2021,0,"$1,128",09/30/2021,"380,000",-5%,$352,0%,$168,09/30/2021,"159,900",0%,$148
133,AGIO,110.96 %,54,"$2,252",61,"2,227,053",105,"7,057,473",200,"60,259,002",17,"327,892",36,"1,308,526"
134,AGLE,87.18 %,49,$282,34,"4,146,366",33,"2,109,195",87,"42,999,148",10,"3,239,412",10,"1,165,826"
135,AGMH,0.24 %,21,$1,4,"38,809",1,"1,164",6,"51,727",4,"38,809",1,"1,164"
136,AGNC,53.00 %,525,"$4,457",240,"14,611,482",215,"23,842,588",531,"278,225,814",62,"2,114,238",49,"6,189,897"
137,AGNCM,0.15 %,9,$0,1,100,1,"1,200",3,"14,541",0,0,1,"1,200"
138,AGNCN,0.99 %,13,$3,0,0,2,"13,925",3,"129,155",0,0,1,"6,325"
139,AGNCO,0.09 %,16,$0,0,0,0,0,1,"15,000",0,0,0,0
140,AGNCP,0.32 %,23,$2,1,"4,850",0,0,2,"73,029",0,0,0,0
141,AGRI,0.66 %,15,$0,5,"99,295",0,0,5,"99,295",5,"99,295",0,0
142,AGRIW,09/30/2021,"600,000",$234,09/30/2021,"57,461",New,$22,New,$6,09/30/2021,"14,233",New,$6
143,AGRX,26.19 %,121,$18,14,"852,021",42,"3,375,957",75,"31,788,694",4,"141,810",20,"928,133"
144,AGTC,30.55 %,43,$31,22,"1,091,172",37,"1,936,762",77,"13,095,973",7,"113,336",13,"211,345"
145,AGYS,98.44 %,25,"$1,080",60,"927,634",76,"683,331",172,"24,226,302",16,"444,014",16,"77,498"
146,AHCO,53.65 %,132,"$1,587",70,"10,771,738",75,"6,653,339",163,"70,932,007",29,"6,005,433",24,"991,508"
147,AHPA,5.11 %,23,$12,3,"1,175,099",0,0,3,"1,175,099",3,"1,175,099",0,0
148,AHPAU,89.01 %,23,$209,48,"20,472,410",0,0,48,"20,472,410",48,"20,472,410",0,0
149,AHPI,4.77 %,4,$1,7,"61,778",7,"81,021",16,"191,331",4,"59,235",3,"50,562"
150,AIH,0.94 %,71,$2,2,"29,435",4,"71,741",7,"667,101",1,"23,396",1,"20,944"
151,AIHS,1.47 %,55,$0,5,"384,215",6,"238,958",14,"816,061",2,"347,412",2,"204,170"
152,AINV,31.21 %,64,$261,64,"948,944",48,"2,361,259",142,"20,083,768",15,"182,794",22,"406,113"
153,AIRG,56.40 %,10,$53,16,"438,244",34,"463,369",63,"5,693,284",4,"47,907",11,"222,089"
154,AIRT,11.93 %,3,$10,8,"31,433",5,"4,517",17,"343,857",2,"9,522",0,0
155,AKAM,91.23 %,162,"$16,572",304,"8,146,395",351,"10,661,339",768,"148,231,446",57,"1,153,413",66,"569,614"
156,AKBA,56.26 %,175,$271,60,"12,857,430",60,"20,733,740",151,"98,426,120",11,"1,319,622",22,"11,627,324"
157,AKIC,77.25 %,24,$180,20,"2,341,106",5,"402,754",67,"18,277,406",5,"177,821",2,"394,079"
158,AKICU,14.80 %,24,$35,7,"172,285",11,"2,027,424",31,"3,502,388",2,145,8,"1,865,550"
159,AKICW,09/30/2021,"144,502",$831,09/30/2021,"396,405",New,$297,-3%,$243,09/30/2021,"256,626",0%,$192
160,AKRO,96.94 %,35,$819,36,"1,204,153",37,"959,801",104,"33,820,687",8,"414,721",3,"53,511"
161,AKTS,50.22 %,52,$176,66,"2,156,076",39,"555,257",143,"26,136,931",11,"125,079",8,"86,233"
162,AKTX,0.03 %,"4,760",$2,2,"16,449",5,"109,467",14,"1,220,629",2,"16,449",0,0
163,AKU,26.43 %,89,$38,7,"158,517",13,"1,482,218",24,"23,527,357",3,"22,770",6,"1,206,048"
164,AKUS,96.67 %,34,$273,29,"919,275",26,"435,710",81,"33,345,917",7,"193,830",7,"165,224"
165,AKYA,26.62 %,37,$130,26,"2,581,506",32,"2,677,157",64,"9,904,230",5,"349,711",17,"2,445,468"
166,ALAC,10.61 %,4,$6,3,"61,657",5,"113,790",11,"475,161",2,"48,405",4,"29,352"
167,ALACR,09/30/2021,"-906,223",$815,09/30/2021,"1,344,238",-3.983%,$622,New,$299,09/30/2021,"644,928",-10.712%,$299
168,ALACW,09/30/2021,"516,772",$165,09/30/2021,"177,500",0%,$57,0%,$56,09/30/2021,"172,802",0.058%,$55
169,ALBO,79.30 %,19,$383,42,"815,046",38,"1,104,743",102,"15,287,297",4,"34,548",9,"405,441"
170,ALCO,42.08 %,8,$113,28,"283,774",34,"244,095",79,"3,166,875",14,"247,176",12,"70,235"
171,ALDX,69.10 %,58,$318,45,"3,176,603",77,"8,284,917",149,"40,139,981",17,"1,264,472",33,"4,804,787"
172,ALEC,64.45 %,81,"$1,108",82,"7,215,863",41,"4,225,494",158,"52,380,173",22,"2,464,584",15,"1,769,344"
173,ALF,2.53 %,16,$2,8,"62,796",9,"198,197",17,"409,841",5,"53,416",4,"186,292"
174,ALGM,45.58 %,190,"$2,689",89,"9,867,663",61,"3,230,695",163,"86,463,114",35,"5,169,631",10,"570,106"
175,ALGN,86.17 %,79,"$44,659",453,"5,226,153",357,"4,793,212",946,"67,947,029",109,"613,940",59,"373,397"
176,ALGS,72.99 %,43,$492,45,"5,444,131",15,"1,353,710",72,"31,107,042",15,"678,652",6,"691,239"
177,ALIM,30.71 %,7,$12,8,"65,533",8,"162,416",30,"2,130,764",4,"53,539",3,"48,845"
178,ALJJ,6.95 %,42,$3,6,"386,812",11,"167,579",23,"2,941,422",2,"254,383",5,"92,091"
179,ALKS,95.88 %,162,"$3,523",114,"12,871,888",110,"19,135,510",260,"155,041,059",44,"4,398,755",39,"5,170,666"
180,ALKT,43.02 %,88,"$1,007",40,"4,659,142",28,"1,657,677",79,"37,923,508",11,"1,327,170",17,"923,808"
181,ALLK,83.02 %,54,"$3,581",77,"3,991,529",74,"3,836,174",183,"45,092,249",19,"641,573",19,"533,353"
182,ALLO,61.79 %,143,"$1,631",74,"6,121,136",85,"4,151,286",203,"88,060,106",19,"385,174",29,"2,374,767"
183,ALLT,69.96 %,36,$294,29,"1,420,474",39,"1,889,747",82,"25,468,795",10,"303,726",18,"744,523"
184,ALNY,93.88 %,120,"$21,013",205,"4,800,736",162,"4,538,134",444,"112,277,894",50,"1,641,331",42,"555,871"
185,ALOT,48.68 %,7,$64,9,"111,096",16,"57,982",37,"3,531,023",0,0,5,"9,558"
186,ALPA,45.29 %,15,$66,15,"6,793,341",0,0,15,"6,793,341",15,"6,793,341",0,0
187,ALPN,52.50 %,29,$181,23,"4,387,769",19,"2,203,265",51,"15,340,864",5,"2,041,905",6,"699,723"
188,ALPP,0.00 %,150,$0,0,0,1,100,2,"1,395",0,0,1,100
189,ALRM,91.91 %,50,"$3,807",118,"1,527,113",130,"2,051,107",303,"46,008,662",24,"376,766",34,"293,995"
190,ALRN,36.38 %,91,$22,16,"562,577",20,"900,038",53,"32,947,645",5,"280,161",9,"340,496"
191,ALRS,36.99 %,17,$207,22,"137,928",25,"144,728",65,"6,365,499",5,"40,109",7,"80,551"
192,ALT,82.61 %,40,$343,75,"10,978,598",42,"4,373,965",133,"32,826,443",28,"6,001,990",15,"2,656,643"
193,ALTM,40.08 %,4,$101,44,"292,176",20,"265,165",73,"1,501,619",18,"140,583",3,"85,971"
194,ALTO,56.84 %,73,$213,46,"8,393,224",68,"10,410,021",133,"41,376,102",14,"1,743,719",24,"3,622,478"
195,ALTR,102.04 %,51,"$3,894",81,"9,376,706",73,"1,696,771",184,"51,824,977",22,"4,977,319",17,"166,281"
196,ALTU,77.20 %,30,$229,25,"4,344,778",26,"2,633,706",85,"23,161,432",12,"2,506,807",6,"1,764,617"
197,ALTUU,1.96 %,30,$6,5,"9,578",6,"1,493,990",16,"586,997",0,0,2,"1,479,505"
198,ALTUW,09/30/2021,"57,197",$575,09/30/2021,"730,803",0%,$555,0%,$475,09/30/2021,"503,500",0%,$383
199,ALVR,39.30 %,65,$493,40,"3,071,263",37,"3,912,584",93,"25,601,430",11,"849,135",15,"821,910"
200,ALXO,86.23 %,40,"$1,256",61,"3,492,516",47,"1,876,346",128,"34,924,489",25,"1,335,748",15,"1,128,741"
201,ALYA,21.69 %,77,$43,11,"255,533",10,"338,166",30,"16,617,641",4,"117,645",4,"97,943"
202,ALZN,0.74 %,87,$1,16,"504,880",6,"155,569",22,"644,973",11,"422,048",5,"76,240"
203,AMAL,37.32 %,31,$208,40,"959,103",44,"1,104,668",99,"11,605,424",9,"227,167",14,"404,229"
204,AMAO,76.64 %,13,$103,20,"1,734,922",0,0,30,"10,331,510",9,"690,210",0,0
205,AMAOW,09/30/2021,0,$308,09/30/2021,"349,700",0%,$227,3.133%,$200,09/30/2021,"238,000",New,$154
206,AMBA,80.15 %,37,"$5,291",127,"4,944,726",147,"3,122,169",308,"29,385,880",54,"2,503,988",29,"580,031"
207,AMCI,17.34 %,15,$25,7,"2,601,086",0,0,7,"2,601,086",7,"2,601,086",0,0
208,AMCIU,70.89 %,15,$106,23,"10,634,049",0,0,23,"10,634,049",23,"10,634,049",0,0
209,AMCIW,09/30/2021,"742,500",$468,09/30/2021,"225,000",New,$142,New,$79,09/30/2021,"6,066",New,$4
210,AMCX,101.89 %,31,"$1,311",100,"2,089,122",117,"2,777,023",276,"31,350,413",35,"694,178",28,"566,054"
211,AMD,69.01 %,"1,208","$124,937",759,"67,530,812",563,"55,938,025","1,492","833,357,594",196,"10,321,198",94,"8,708,981"
212,AMED,89.16 %,33,"$4,659",184,"4,635,896",204,"4,860,444",436,"29,069,208",59,"923,537",79,"977,285"
213,AMEH,30.46 %,56,"$1,663",107,"7,379,729",32,"767,978",151,"16,918,261",46,"903,160",7,"195,040"
214,AMOT,59.43 %,15,$350,46,"379,044",44,"345,352",100,"8,744,955",7,"96,298",8,"60,076"
215,AMPH,58.25 %,48,$590,60,"1,814,428",70,"1,209,998",154,"27,873,397",10,"170,746",16,"267,978"
216,AMPL,67.53 %,54,"$2,484",50,"36,383,007",0,0,50,"36,383,007",50,"36,383,007",0,0
217,AMRK,43.62 %,11,$346,58,"544,731",36,"403,050",108,"4,951,710",24,"234,078",12,"138,519"
218,AMRN,30.35 %,395,$457,90,"22,564,360",91,"32,607,757",262,"119,758,118",32,"10,008,459",29,"18,578,511"
219,AMRS,38.64 %,308,$788,137,"9,464,635",79,"21,927,058",244,"119,098,675",61,"3,256,805",36,"16,260,269"
220,AMSC,57.53 %,28,$221,52,"1,959,583",45,"1,592,758",117,"16,337,156",13,"698,017",20,"625,901"
221,AMSF,97.12 %,19,"$1,062",89,"1,030,802",69,"988,315",186,"18,807,001",17,"217,828",17,"563,748"
222,AMST,4.43 %,22,$1,11,"511,658",5,"28,290",16,"974,438",7,"407,548",2,"24,616"
223,AMSWA,86.66 %,31,$638,64,"1,623,430",52,"1,376,601",144,"27,267,595",16,"111,763",13,"428,407"
224,AMTB,46.33 %,29,$417,45,"1,530,064",26,"352,102",88,"13,462,266",13,"325,781",4,"85,034"
225,AMTI,69.89 %,38,$494,46,"1,612,559",30,"3,055,582",90,"26,899,533",19,"705,394",9,"130,203"
226,AMTX,51.47 %,33,$298,55,"4,348,075",39,"2,631,064",100,"17,113,972",20,"2,172,715",17,"455,396"
227,AMWD,93.13 %,17,"$1,046",78,"1,249,247",98,"1,566,710",211,"15,429,750",26,"556,293",29,"427,150"
228,AMYT,10.01 %,318,$321,27,"3,218,553",57,"3,060,305",100,"31,844,101",9,"462,057",35,"1,673,665"
229,ANAB,100.60 %,28,$867,46,"1,566,456",51,"1,714,053",137,"27,672,771",16,"667,965",9,"121,376"
230,ANAT,95.31 %,27,"$4,893",75,"9,483,903",99,"1,473,519",203,"25,625,520",35,"759,802",39,"548,598"
