,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
2126,LGIH,86.34 %,24,"$3,112",93,"875,177",131,"981,968",272,"20,957,513",22,"154,190",28,"204,726"
2127,LGND,98.77 %,17,"$2,649",90,"1,865,367",96,"1,430,468",227,"16,505,579",18,"269,636",22,"556,451"
2128,LGO,57.28 %,65,$387,33,"2,268,408",19,"3,585,953",59,"37,072,867",16,"1,079,210",8,"423,145"
2129,LGVN,8.84 %,3,$5,10,"99,428",5,"160,921",17,"302,276",5,"25,877",4,"160,920"
2130,LHAA,94.01 %,23,$213,11,"961,701",12,"1,031,690",63,"21,575,666",2,951,3,"366,676"
2131,LHCG,96.22 %,32,"$3,969",155,"2,206,257",174,"1,787,704",390,"30,473,760",42,"715,124",51,"371,530"
2132,LHDX,45.21 %,39,$101,23,"2,483,279",27,"1,127,114",55,"17,735,282",10,"988,243",19,"781,711"
2133,LI,10.03 %,"1,710","$5,441",145,"34,721,790",90,"11,681,985",271,"171,418,162",43,"9,634,125",39,"3,583,105"
2134,LIDR,21.87 %,155,$159,32,"30,349,151",51,"14,702,681",89,"33,806,676",24,"29,244,444",39,"12,270,512"
2135,LIDRW,09/30/2021,0,$380,09/30/2021,"183,402",511.34%,$174,New,$154,09/30/2021,"150,828",0.552%,$143
2136,LIFE,68.21 %,28,$153,34,"12,311,054",9,"273,942",46,"18,955,586",17,"4,555,331",4,"58,154"
2137,LILA,76.43 %,47,$449,53,"1,237,082",56,"1,654,155",147,"35,900,398",12,"316,686",18,"583,445"
2138,LILAK,76.88 %,183,"$1,734",79,"5,955,149",79,"6,858,793",214,"140,651,714",27,"1,048,462",17,"1,173,030"
2139,LILM,12.05 %,260,$249,25,"29,785,502",70,"23,142,948",97,"31,287,062",17,"26,973,551",65,"21,269,208"
2140,LILMW,09/30/2021,"1,088,997","$1,764",09/30/2021,"537,205",138.831%,$870,0%,$810,09/30/2021,"310,998",-8.659%,$504
