,tick,position,error
548,RCACW,3605,'NoneType' object is not subscriptable
549,RCLFW,3613,'NoneType' object is not subscriptable
550,RENEW,3641,'NoneType' object is not subscriptable
551,REVBW,3649,'NoneType' object is not subscriptable
552,REVHW,3653,'NoneType' object is not subscriptable
553,RFACR,3656,'NoneType' object is not subscriptable
554,RGTIW,3667,'NoneType' object is not subscriptable
555,RILYL,3675,'NoneType' object is not subscriptable
556,RILYM,3676,'NoneType' object is not subscriptable
557,RILYO,3678,'NoneType' object is not subscriptable
558,RILYP,3679,'NoneType' object is not subscriptable
559,RILYT,3680,'NoneType' object is not subscriptable
560,RMGCW,3695,'NoneType' object is not subscriptable
561,RNERW,3702,'NoneType' object is not subscriptable
562,RNWWW,3707,'NoneType' object is not subscriptable
563,ROCAR,3711,'NoneType' object is not subscriptable
564,ROCLW,3716,'NoneType' object is not subscriptable
565,ROIVW,3719,'NoneType' object is not subscriptable
566,ROSEW,3724,'NoneType' object is not subscriptable
567,RSVRW,3739,'NoneType' object is not subscriptable
568,RUMBW,3745,'NoneType' object is not subscriptable
569,RVPHW,3754,'NoneType' object is not subscriptable
570,RVSNW,3757,'NoneType' object is not subscriptable
571,RWAYL,3760,'NoneType' object is not subscriptable
572,RWODR,3763,'NoneType' object is not subscriptable
573,RWODW,3765,'NoneType' object is not subscriptable
574,RXRAW,3769,'NoneType' object is not subscriptable
575,SABSW,3779,'NoneType' object is not subscriptable
576,SAGAR,3782,'NoneType' object is not subscriptable
577,SAITW,3787,'NoneType' object is not subscriptable
578,SAMAW,3792,'NoneType' object is not subscriptable
579,SATLW,3801,'NoneType' object is not subscriptable
580,SBFMW,3809,'NoneType' object is not subscriptable
581,SBIGW,3812,'NoneType' object is not subscriptable
582,SBNYP,3815,'NoneType' object is not subscriptable
583,SCLEW,3826,'NoneType' object is not subscriptable
584,SCMAW,3830,'NoneType' object is not subscriptable
585,SCOAW,3833,'NoneType' object is not subscriptable
586,SCOBW,3836,'NoneType' object is not subscriptable
587,SCRMW,3843,'NoneType' object is not subscriptable
588,SDACW,3852,'NoneType' object is not subscriptable
589,SECO,3858,'NoneType' object is not subscriptable
590,SGIIW,3888,'NoneType' object is not subscriptable
591,SHACW,3897,'NoneType' object is not subscriptable
592,SHCAW,3902,'NoneType' object is not subscriptable
593,SHCRW,3904,'NoneType' object is not subscriptable
594,SHFSW,3907,'NoneType' object is not subscriptable
595,SHQAW,3914,'NoneType' object is not subscriptable
596,SIERW,3922,'NoneType' object is not subscriptable
597,SIGIP,3926,'NoneType' object is not subscriptable
598,SKGRW,3941,'NoneType' object is not subscriptable
599,SKYAW,3944,'NoneType' object is not subscriptable
600,SLAMW,3951,'NoneType' object is not subscriptable
601,SLDPW,3954,'NoneType' object is not subscriptable
602,SLGCW,3956,'NoneType' object is not subscriptable
603,SLNAW,3963,'NoneType' object is not subscriptable
604,SMAPW,3976,'NoneType' object is not subscriptable
605,SMFL,3980,'NoneType' object is not subscriptable
606,SMFRW,3982,'NoneType' object is not subscriptable
607,SNAL,3994,'NoneType' object is not subscriptable
608,SNCRL,3999,'NoneType' object is not subscriptable
609,SOHOB,4023,'NoneType' object is not subscriptable
610,SOHON,4024,'NoneType' object is not subscriptable
611,SOLOW,4028,'NoneType' object is not subscriptable
612,SONDW,4030,'NoneType' object is not subscriptable
613,SOUNW,4038,'NoneType' object is not subscriptable
614,SPCMW,4043,'NoneType' object is not subscriptable
615,SPKBW,4049,'NoneType' object is not subscriptable
616,SPTKW,4063,'NoneType' object is not subscriptable
617,SQFTP,4068,'NoneType' object is not subscriptable
618,SQFTW,4069,'NoneType' object is not subscriptable
619,SSAAW,4084,'NoneType' object is not subscriptable
620,SSSSL,4095,'NoneType' object is not subscriptable
621,STIXW,4110,'NoneType' object is not subscriptable
622,STRCW,4119,'NoneType' object is not subscriptable
623,STRNW,4123,'NoneType' object is not subscriptable
624,STRRP,4126,'NoneType' object is not subscriptable
625,STSSW,4131,'NoneType' object is not subscriptable
626,SURGW,4139,'NoneType' object is not subscriptable
627,SVFAW,4143,'NoneType' object is not subscriptable
628,SVII,4146,'NoneType' object is not subscriptable
629,SVIIU,4147,'NoneType' object is not subscriptable
630,SVNAW,4149,'NoneType' object is not subscriptable
631,SWETW,4157,'NoneType' object is not subscriptable
632,SWSSW,4164,'NoneType' object is not subscriptable
633,SWVLW,4167,'NoneType' object is not subscriptable
634,SYTAW,4178,'NoneType' object is not subscriptable
635,SZZLW,4180,'NoneType' object is not subscriptable
636,TALKW,4185,'NoneType' object is not subscriptable
637,TANNI,4188,'NoneType' object is not subscriptable
638,TANNZ,4190,'NoneType' object is not subscriptable
639,TBCPU,4200,'NoneType' object is not subscriptable
640,TBCPW,4201,'NoneType' object is not subscriptable
641,TBKCP,4203,'NoneType' object is not subscriptable
642,TBLAW,4205,'NoneType' object is not subscriptable
643,TBLTW,4208,'NoneType' object is not subscriptable
644,TCBIO,4215,'NoneType' object is not subscriptable
645,TCBPW,4218,'NoneType' object is not subscriptable
646,TECTP,4235,'NoneType' object is not subscriptable
647,TENKU,4239,'NoneType' object is not subscriptable
648,TETCW,4246,'NoneType' object is not subscriptable
649,TETEW,4249,'NoneType' object is not subscriptable
650,TGAAW,4253,'NoneType' object is not subscriptable
651,TGVCW,4259,'NoneType' object is not subscriptable
652,THACW,4262,'NoneType' object is not subscriptable
653,THCHW,4264,'NoneType' object is not subscriptable
654,THCPW,4267,'NoneType' object is not subscriptable
655,THWWW,4276,'NoneType' object is not subscriptable
656,TLGYW,4293,'NoneType' object is not subscriptable
657,TMCWW,4300,'NoneType' object is not subscriptable
658,TMKRW,4305,'NoneType' object is not subscriptable
659,TMPOW,4307,'NoneType' object is not subscriptable
660,TPBAW,4322,'NoneType' object is not subscriptable
661,TRINL,4331,'NoneType' object is not subscriptable
662,TRKAW,4334,'NoneType' object is not subscriptable
663,TSIBW,4358,'NoneType' object is not subscriptable
664,TWLVW,4382,'NoneType' object is not subscriptable
665,TZPSW,4395,'NoneType' object is not subscriptable
666,UCBIO,4402,'NoneType' object is not subscriptable
667,UKOMW,4416,'NoneType' object is not subscriptable
668,UPTDW,4435,'NoneType' object is not subscriptable
669,USCTW,4446,'NoneType' object is not subscriptable
670,UTAAW,4453,'NoneType' object is not subscriptable
671,VALU,4464,'NoneType' object is not subscriptable
672,VCXAW,4481,'NoneType' object is not subscriptable
673,VELOW,4488,'NoneType' object is not subscriptable
674,VENAR,4490,'NoneType' object is not subscriptable
675,VENAW,4491,'NoneType' object is not subscriptable
676,VERBW,4495,'NoneType' object is not subscriptable
677,VHNAW,4507,'NoneType' object is not subscriptable
678,VIEWW,4513,'NoneType' object is not subscriptable
679,VIIAW,4517,'NoneType' object is not subscriptable
680,VLDRW,4538,'NoneType' object is not subscriptable
681,VMCAW,4548,'NoneType' object is not subscriptable
682,VMGAW,4553,'NoneType' object is not subscriptable
683,VORBW,4560,'NoneType' object is not subscriptable
684,VSACW,4586,'NoneType' object is not subscriptable
685,VTIQW,4594,'NoneType' object is not subscriptable
686,WAFDP,4612,'NoneType' object is not subscriptable
687,WALDW,4615,'NoneType' object is not subscriptable
688,WAVSW,4621,'NoneType' object is not subscriptable
689,WEJOW,4629,'NoneType' object is not subscriptable
690,WESTW,4633,'NoneType' object is not subscriptable
691,WINVW,4649,'NoneType' object is not subscriptable
692,WKSPW,4658,'NoneType' object is not subscriptable
693,WLDSW,4661,'NoneType' object is not subscriptable
694,WTMAR,4683,'NoneType' object is not subscriptable
695,WVVIP,4688,'NoneType' object is not subscriptable
696,WWACW,4691,'NoneType' object is not subscriptable
697,XFINW,4705,'NoneType' object is not subscriptable
698,XOMAO,4714,'NoneType' object is not subscriptable
699,XOMAP,4715,'NoneType' object is not subscriptable
700,XOSWW,4717,'NoneType' object is not subscriptable
701,YOTAW,4739,'NoneType' object is not subscriptable
702,YQ,4740,'NoneType' object is not subscriptable
703,ZFOXW,4753,'NoneType' object is not subscriptable
704,ZINGW,4758,'NoneType' object is not subscriptable
705,ZIVOW,4764,'NoneType' object is not subscriptable
706,ZTAQW,4771,'NoneType' object is not subscriptable
707,ZWRKW,4775,'NoneType' object is not subscriptable
