,tick,position,error
129,CHEKZ,871,'NoneType' object is not subscriptable
130,CHKEL,874,'NoneType' object is not subscriptable
131,CHKEW,875,'NoneType' object is not subscriptable
132,CIFRW,894,'NoneType' object is not subscriptable
133,CIIGW,899,'NoneType' object is not subscriptable
134,CITEW,904,'NoneType' object is not subscriptable
135,CLAYW,911,'NoneType' object is not subscriptable
136,CLBTW,914,'NoneType' object is not subscriptable
137,CLINW,920,'NoneType' object is not subscriptable
138,CLNNW,927,'NoneType' object is not subscriptable
139,CLOER,929,'NoneType' object is not subscriptable
140,CLRMW,937,'NoneType' object is not subscriptable
141,CLVRW,943,'NoneType' object is not subscriptable
142,CMAXW,948,'NoneType' object is not subscriptable
143,CMCTP,954,'NoneType' object is not subscriptable
144,CMND,958,'NoneType' object is not subscriptable
145,CMPOW,960,'NoneType' object is not subscriptable
146,CMRAW,965,'NoneType' object is not subscriptable
147,CNFRL,973,'NoneType' object is not subscriptable
148,CNGLW,976,'NoneType' object is not subscriptable
149,CNOBP,979,'NoneType' object is not subscriptable
150,COEPW,995,'NoneType' object is not subscriptable
151,COLIW,1005,'NoneType' object is not subscriptable
152,COMSP,1010,'NoneType' object is not subscriptable
153,COMSW,1011,'NoneType' object is not subscriptable
154,CONXW,1014,'NoneType' object is not subscriptable
155,COOLW,1017,'NoneType' object is not subscriptable
156,CORZW,1021,'NoneType' object is not subscriptable
157,COVAW,1027,'NoneType' object is not subscriptable
158,COWNL,1029,'NoneType' object is not subscriptable
159,CPAAW,1031,'NoneType' object is not subscriptable
160,CPARW,1035,'NoneType' object is not subscriptable
161,CPTNW,1046,'NoneType' object is not subscriptable
162,CRECW,1057,'NoneType' object is not subscriptable
163,CRESW,1059,'NoneType' object is not subscriptable
164,CREXW,1062,'NoneType' object is not subscriptable
165,CRZNW,1083,'NoneType' object is not subscriptable
166,CSLMR,1091,'NoneType' object is not subscriptable
167,CSLMW,1092,'NoneType' object is not subscriptable
168,CSSEL,1096,'NoneType' object is not subscriptable
169,CSSEN,1097,'NoneType' object is not subscriptable
170,CTAQW,1107,'NoneType' object is not subscriptable
171,CUENW,1125,'NoneType' object is not subscriptable
172,CURIW,1128,'NoneType' object is not subscriptable
173,CYTHW,1158,'NoneType' object is not subscriptable
174,DAOOW,1173,'NoneType' object is not subscriptable
175,DATSW,1176,'NoneType' object is not subscriptable
176,DAVEW,1178,'NoneType' object is not subscriptable
177,DBGIW,1181,'NoneType' object is not subscriptable
178,DCFCW,1187,'NoneType' object is not subscriptable
179,DCRDW,1193,'NoneType' object is not subscriptable
180,DFLIW,1204,'NoneType' object is not subscriptable
181,DHACW,1214,'NoneType' object is not subscriptable
182,DHBCW,1216,'NoneType' object is not subscriptable
183,DHCAW,1220,'NoneType' object is not subscriptable
184,DHHCW,1225,'NoneType' object is not subscriptable
